3.099999998178191163e+00 2.664242424242421521e+02
6.799999998174826032e+00 8.739393939393929145e+01
8.399999998173370841e+00 8.478354978354968807e+01
7.099999998174553184e+00 1.249870129870128608e+02
1.499999998179646354e+00 1.981489177489175745e+03
5.599999998175917426e+00 1.685194805194803394e+02
1.599999998179555405e+00 2.312683982683980162e+02
9.399999998172461346e+00 2.020303030303028038e+02
3.099999998178191163e+00 2.960216450216447583e+02
8.099999998173643689e+00 1.018658008658007503e+02
9.399999998172461346e+00 9.831601731601720928e+01
3.399999998177918314e+00 8.129437229437219514e+01
1.499999998179646354e+00 2.046735930735928605e+03
9.399999998172461346e+00 2.423463203463200557e+02
2.099999998179100658e+00 5.016883116883110461e+01
1.599999998179555405e+00 2.487792207792205090e+02
1.499999998179646354e+00 6.491774891774885248e+01
8.799999998173007043e+00 6.619913419913413577e+01
6.199999998175371729e+00 8.608225108225099120e+01
7.899999998173825588e+00 5.375757575757569384e+01
6.699999998174916982e+00 7.199134199134189771e+01
5.699999998175826477e+00 9.148051948051937643e+01
7.399999998174280336e+00 7.216883116883109039e+01
9.899999998172006599e+00 8.385714285714276173e+01
9.999999818091964698e-02 3.343679653679649846e+02
9.499999998172370397e+00 7.571861471861463144e+01
7.399999998174280336e+00 5.235930735930729440e+01
1.599999998179555405e+00 1.045670995670994330e+02
3.099999998178191163e+00 2.841385281385278176e+02
7.999999998173734639e+00 9.333766233766220921e+01
9.299999998172552296e+00 2.260519480519478179e+02
2.899999998178373062e+00 8.283982683982674189e+01
1.499999998179646354e+00 2.056822510822508775e+03
1.999999981808286975e-01 4.544935064935060041e+02
6.199999998175371729e+00 9.456277056277045290e+01
5.099999998176372173e+00 5.028571428571423496e+01
6.099999998175462679e+00 9.183116883116873908e+01
1.499999998179646354e+00 2.306623376623374497e+02
9.899999998172006599e+00 8.791341991341980133e+01
1.599999998179555405e+00 6.604761904761896574e+01
7.699999998174007487e+00 6.982683982683975898e+01
1.499999998179646354e+00 6.137662337662331424e+01
8.599999998173188942e+00 6.676623376623369666e+01
3.199999998178100213e+00 5.138095238095232986e+01
1.499999998179646354e+00 2.302086580086577669e+03
3.199999998178100213e+00 2.742380952380949566e+02
2.899999998178373062e+00 5.499567099567093464e+01
